MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
9528.json	org.springframework.boot.devtools.restart.ChangeableUrls.getUrlsFromClassPathOfJarManifestIfPossible(java.net.URL)	9525.json	org.springframework.boot.devtools.restart.ChangeableUrls.fromClassLoader(java.lang.ClassLoader)	true	665
11903.json	org.springframework.boot.loader.jar.JarEntry.getCertificates()	noCall	noCall	true	1539
3221.json	org.springframework.boot.autoconfigure.data.redis.RedisProperties.Lettuce.getShutdownTimeout()	noCall	noCall	false	275
11977.json	org.springframework.boot.loader.util.SystemPropertyUtils.resolvePlaceholder(java.util.Properties, java.lang.String, java.lang.String)	11976.json	org.springframework.boot.loader.util.SystemPropertyUtils.parseStringValue(java.util.Properties, java.lang.String, java.lang.String, java.util.Set<java.lang.String>)	true	1591
6335.json	org.springframework.boot.jdbc.EmbeddedDatabaseConnection.getType()	2809.json	org.springframework.boot.autoconfigure.jdbc.EmbeddedDataSourceConfiguration.dataSource()	true	1610
7965.json	org.springframework.boot.actuate.endpoint.web.PathMappedEndpoints.getEndpoints(java.util.Collection<org.springframework.boot.actuate.endpoint.EndpointsSupplier<?>>)	noCall	noCall	true	13
2888.json	org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration.TomcatDataSourcePoolMetadataProviderConfiguration.tomcatPoolDataSourceMetadataProvider()	noCall	noCall	true	1249
5745.json	org.springframework.boot.web.embedded.undertow.SslBuilderCustomizer.getTrustManagers(org.springframework.boot.web.server.Ssl, org.springframework.boot.web.server.SslStoreProvider)	noCall	noCall	false	1171
5128.json	org.springframework.boot.web.servlet.server.SessionStoreDirectory.getValidDirectory(boolean)	null	org.springframework.boot.web.servlet.server.AbstractServletWebServerFactory.getValidSessionStoreDir(boolean)	true	324
2196.json	org.springframework.boot.autoconfigure.web.ServerProperties.Tomcat.getUriEncoding()	noCall	noCall	true	1410
7963.json	org.springframework.boot.actuate.endpoint.web.EndpointMediaTypes.getProduced()	7987.json,8045.json,7941.json,7902.json	org.springframework.boot.actuate.endpoint.web.reactive.AbstractWebFluxEndpointHandlerMapping.registerLinksMapping(),org.springframework.boot.actuate.endpoint.web.annotation.RequestPredicateFactory.getProduces(org.springframework.boot.actuate.endpoint.annotation.DiscoveredOperationMethod, java.lang.reflect.Method),org.springframework.boot.actuate.endpoint.web.jersey.JerseyEndpointResourceFactory.createEndpointLinksResource(java.lang.String, java.util.Collection<org.springframework.boot.actuate.endpoint.web.ExposableWebEndpoint>, org.springframework.boot.actuate.endpoint.web.EndpointMediaTypes),org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping.registerLinksMapping()	true	107
548.json	org.springframework.boot.autoconfigure.groovy.template.GroovyTemplateProperties.getResourceLoaderPath()	550.json,552.json	org.springframework.boot.autoconfigure.groovy.template.GroovyTemplateAutoConfiguration.GroovyMarkupConfiguration.checkTemplateLocationExists(),org.springframework.boot.autoconfigure.groovy.template.GroovyTemplateAutoConfiguration.GroovyMarkupConfiguration.groovyMarkupConfigurer()	true	941
5365.json	org.springframework.boot.web.server.WebServerFactoryCustomizerBeanPostProcessor.postProcessAfterInitialization(java.lang.Object, java.lang.String)	noCall	noCall	true	1744
10579.json	org.springframework.boot.configurationprocessor.MetadataStore.getMetadataResource()	10575.json	org.springframework.boot.configurationprocessor.MetadataStore.readMetadata()	true	1100
11114.json	org.springframework.boot.configurationmetadata.ConfigurationMetadataProperty.getType()	4291.json,null	org.springframework.boot.context.properties.migrator.PropertiesMigrationReporter.detectMapValueReplacementType(java.lang.String),org.springframework.boot.context.properties.migrator.PropertiesMigrationReporter.isRenamed(org.springframework.boot.context.properties.migrator.PropertyMigration)	true	934
8973.json	org.springframework.boot.cli.command.CommandRunner.errorMessage(java.lang.String)	8972.json	org.springframework.boot.cli.command.CommandRunner.handleError(boolean, java.lang.Exception)	true	1744
9678.json	org.springframework.boot.devtools.autoconfigure.RemoteDevToolsAutoConfiguration.RemoteRestartConfiguration.remoteRestartSourceFolderUrlFilter()	noCall	noCall	true	976
9419.json	org.springframework.boot.devtools.restart.classloader.RestartClassLoader.findClass(java.lang.String)	9418.json	org.springframework.boot.devtools.restart.classloader.RestartClassLoader.loadClass(java.lang.String, boolean)	true	976
5385.json	org.springframework.boot.web.server.PortInUseException.getPort()	6091.json	org.springframework.boot.diagnostics.analyzer.PortInUseFailureAnalyzer.analyze(java.lang.Throwable, org.springframework.boot.web.server.PortInUseException)	true	713
6674.json	org.springframework.boot.context.ContextIdApplicationContextInitializer.ContextId.getId()	noCall	noCall	false	22
6732.json	org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.extractEnvironmentPropertySources()	null	org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.deducePropertySources()	true	97
9772.json	org.springframework.boot.devtools.tunnel.server.HttpTunnelServer.setLongPollTimeout(int)	noCall	noCall	true	976
2839.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.getSchema()	2868.json	org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer.createSchema()	true	1360
8767.json	org.springframework.boot.cli.compiler.maven.MavenSettingsReader.readSettings()	8812.json	org.springframework.boot.cli.compiler.RepositoryConfigurationFactory.createDefaultRepositoryConfiguration()	false	933
4122.json	org.springframework.boot.actuate.autoconfigure.info.InfoContributorAutoConfiguration.buildInfoContributor(org.springframework.boot.info.BuildProperties)	noCall	noCall	true	693
7097.json	org.springframework.boot.context.properties.bind.AggregateBinder.getContext()	7063.json,7075.json	org.springframework.boot.context.properties.bind.MapBinder.bindAggregate(org.springframework.boot.context.properties.source.ConfigurationPropertyName, org.springframework.boot.context.properties.bind.Bindable<?>, org.springframework.boot.context.properties.bind.AggregateElementBinder),org.springframework.boot.context.properties.bind.MapBinder.EntryBinder.isScalarValue(org.springframework.boot.context.properties.source.ConfigurationPropertySource, org.springframework.boot.context.properties.source.ConfigurationPropertyName)	false	280
10533.json	org.springframework.boot.configurationprocessor.fieldvalues.javac.JavaCompilerFieldValuesParser.FieldCollector.getValue(org.springframework.boot.configurationprocessor.fieldvalues.javac.VariableTree)	10532.json	org.springframework.boot.configurationprocessor.fieldvalues.javac.JavaCompilerFieldValuesParser.FieldCollector.visitVariable(org.springframework.boot.configurationprocessor.fieldvalues.javac.VariableTree)	true	1187
1277.json	org.springframework.boot.autoconfigure.webservices.WebServicesAutoConfiguration.WsdlDefinitionBeanFactoryPostProcessor.ensureTrailingSlash(java.lang.String)	1276.json	org.springframework.boot.autoconfigure.webservices.WebServicesAutoConfiguration.WsdlDefinitionBeanFactoryPostProcessor.getResources(java.lang.String, java.lang.String)	true	129
4661.json	org.springframework.boot.ExitCodeGenerators.addAll(java.lang.Throwable, java.lang.Iterable<? extends org.springframework.boot.ExitCodeExceptionMapper>)	4660.json	org.springframework.boot.ExitCodeGenerators.addAll(java.lang.Throwable, org.springframework.boot.ExitCodeExceptionMapper...)	false	749
1549.json	org.springframework.boot.autoconfigure.condition.OnBeanCondition.BeanSearchSpec.toString()	noCall	noCall	true	1637
5836.json	org.springframework.boot.web.embedded.undertow.UndertowReactiveWebServerFactory.setAccessLogSuffix(java.lang.String)	noCall	noCall	true	21
8216.json	org.springframework.boot.actuate.flyway.FlywayEndpoint.FlywayMigration.getScript()	noCall	noCall	true	940
2441.json	org.springframework.boot.autoconfigure.session.RedisSessionProperties.setCleanupCron(java.lang.String)	noCall	noCall	true	91
2874.json	org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer.doGetResources(java.lang.String)	2873.json	org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer.getResources(java.lang.String, java.util.List<java.lang.String>, boolean)	true	1358
11071.json	org.springframework.boot.configurationmetadata.ConfigurationMetadataSource.getProperties()	11049.json	org.springframework.boot.configurationmetadata.SimpleConfigurationMetadataRepository.add(org.springframework.boot.configurationmetadata.ConfigurationMetadataProperty, org.springframework.boot.configurationmetadata.ConfigurationMetadataSource)	true	934
2276.json	org.springframework.boot.autoconfigure.web.ServerProperties.Jetty.getSelectors()	noCall	noCall	true	661
11954.json	org.springframework.boot.loader.jar.StringSequence.equals(java.lang.Object)	noCall	noCall	true	41
8082.json	org.springframework.boot.actuate.endpoint.annotation.AbstractDiscoveredOperation.invoke(java.util.Map<java.lang.String, java.lang.Object>)	noCall	noCall	true	13
6903.json	org.springframework.boot.context.properties.source.SpringConfigurationPropertySource.containsDescendantOf(org.springframework.boot.context.properties.source.ConfigurationPropertyName)	noCall	noCall	true	276
875.json	org.springframework.boot.autoconfigure.flyway.FlywayProperties.setEnabled(boolean)	noCall	noCall	true	1371
608.json	org.springframework.boot.autoconfigure.thymeleaf.ThymeleafProperties.Reactive.getFullModeViewNames()	noCall	noCall	true	118
8267.json	org.springframework.boot.actuate.info.InfoPropertiesInfoContributor.copyIfSet(java.util.Properties, java.lang.String)	8272.json,8285.json	org.springframework.boot.actuate.info.GitInfoContributor.toSimplePropertySource(),org.springframework.boot.actuate.info.BuildInfoContributor.toSimplePropertySource()	true	694
9351.json	org.springframework.boot.devtools.livereload.Connection.run()	9376.json	org.springframework.boot.devtools.livereload.LiveReloadServer.ConnectionHandler.runConnection(org.springframework.boot.devtools.livereload.Connection)	true	976
9254.json	org.springframework.boot.jdbc.SimpleTwoDataSourcesExample.SimpleDataSourcesConfiguration.firstDataSource()	noCall	noCall	true	373
302.json	org.springframework.boot.autoconfigure.jms.JmsProperties.Listener.setMaxConcurrency(java.lang.Integer)	noCall	noCall	true	931
10217.json	org.springframework.boot.loader.tools.FileUtils.removeDuplicatesFromOutputDirectory(java.io.File, java.io.File)	10217.json,10931.json	org.springframework.boot.loader.tools.FileUtils.removeDuplicatesFromOutputDirectory(java.io.File, java.io.File),org.springframework.boot.maven.AbstractRunMojo.addResources(java.util.List<java.net.URL>)	true	1419
8481.json	org.springframework.boot.actuate.amqp.RabbitHealthIndicator.doHealthCheck(org.springframework.boot.actuate.health.Health.Builder)	noCall	noCall	true	1363
7901.json	org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping.createRequestMappingInfo(org.springframework.boot.actuate.endpoint.web.WebOperation)	7899.json	org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping.registerMappingForOperation(org.springframework.boot.actuate.endpoint.web.ExposableWebEndpoint, org.springframework.boot.actuate.endpoint.web.WebOperation)	true	182
11057.json	org.springframework.boot.configurationmetadata.ValueProvider.getParameters()	noCall	noCall	false	934
2656.json	org.springframework.boot.autoconfigure.amqp.RabbitProperties.Ssl.getTrustStoreType()	noCall	noCall	true	136
9508.json	org.springframework.boot.devtools.restart.server.DefaultSourceFolderUrlFilter.stripTrailingSlash(java.lang.String)	9506.json	org.springframework.boot.devtools.restart.server.DefaultSourceFolderUrlFilter.isMatch(java.lang.String, java.lang.String)	true	976
10125.json	org.springframework.boot.loader.tools.MainClassFinder.ClassDescriptor.isMainMethodFound()	10116.json,10111.json	org.springframework.boot.loader.tools.MainClassFinder.doWithMainClasses(java.util.jar.JarFile, java.lang.String, org.springframework.boot.loader.tools.MainClassFinder.MainClassCallback<T>),org.springframework.boot.loader.tools.MainClassFinder.doWithMainClasses(java.io.File, org.springframework.boot.loader.tools.MainClassFinder.MainClassCallback<T>)	true	429
6384.json	org.springframework.boot.jdbc.metadata.CommonsDbcp2DataSourcePoolMetadata.getMin()	noCall	noCall	true	1252
1250.json	org.springframework.boot.autoconfigure.template.AbstractViewResolverProperties.setEnabled(boolean)	noCall	noCall	true	1149
714.json	org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2ClientProperties.Registration.setClientId(java.lang.String)	noCall	noCall	true	122
9123.json	org.springframework.boot.cli.command.init.ProjectGenerationRequest.generateUrl(org.springframework.boot.cli.command.init.InitializrServiceMetadata)	9053.json	org.springframework.boot.cli.command.init.InitializrService.generate(org.springframework.boot.cli.command.init.ProjectGenerationRequest)	true	1189
612.json	org.springframework.boot.autoconfigure.h2.H2ConsoleProperties.getPath()	621.json,645.json	org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration.h2Console(),org.springframework.boot.autoconfigure.security.servlet.PathRequest.H2ConsoleRequestMatcher.initialized(org.springframework.boot.autoconfigure.h2.H2ConsoleProperties)	true	911
7182.json	org.springframework.boot.context.properties.bind.BindResult.hashCode()	noCall	noCall	true	280
9556.json	org.springframework.boot.devtools.remote.client.RemoteClientConfiguration.clientHttpRequestFactory()	noCall	noCall	true	976
7910.json	org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping.getEndpoints()	noCall	noCall	true	1695
2678.json	org.springframework.boot.autoconfigure.amqp.RabbitProperties.Listener.getSimple()	noCall	noCall	false	272
9790.json	org.springframework.boot.devtools.tunnel.server.HttpTunnelServer.HttpConnection.respond(org.springframework.boot.devtools.tunnel.payload.HttpTunnelPayload)	noCall	noCall	true	976
202.json	org.springframework.boot.autoconfigure.ImportAutoConfigurationImportSelector.getOrder()	noCall	noCall	true	680
6056.json	org.springframework.boot.diagnostics.analyzer.InvalidConfigurationPropertyNameFailureAnalyzer.quote(java.lang.Character)	noCall	noCall	true	205
6095.json	org.springframework.boot.diagnostics.analyzer.UnboundConfigurationPropertyFailureAnalyzer.analyzeUnboundConfigurationPropertiesException(org.springframework.boot.context.properties.bind.BindException, org.springframework.boot.context.properties.bind.UnboundConfigurationPropertiesException)	6094.json	org.springframework.boot.diagnostics.analyzer.UnboundConfigurationPropertyFailureAnalyzer.analyze(java.lang.Throwable, org.springframework.boot.context.properties.bind.UnboundConfigurationPropertiesException)	true	280
3851.json	org.springframework.boot.actuate.autoconfigure.jolokia.JolokiaEndpointAutoConfiguration.jolokiaEndpoint(org.springframework.boot.actuate.autoconfigure.jolokia.JolokiaProperties)	noCall	noCall	true	8
9068.json	org.springframework.boot.cli.command.init.Dependency.getName()	9077.json	org.springframework.boot.cli.command.init.ServiceCapabilitiesReportGenerator.reportAvailableDependencies(org.springframework.boot.cli.command.init.InitializrServiceMetadata, java.lang.StringBuilder)	true	1189
4050.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.Token.getContent()	4018.json,3959.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.ReactiveTokenValidator.hasValidSignature(org.springframework.boot.actuate.autoconfigure.cloudfoundry.Token, java.lang.String),org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet.TokenValidator.hasValidSignature(org.springframework.boot.actuate.autoconfigure.cloudfoundry.Token, java.lang.String)	true	158
6195.json	org.springframework.boot.env.OriginTrackedPropertiesLoader.load()	noCall	noCall	false	332
119.json	org.springframework.boot.autoconfigure.liquibase.LiquibaseProperties.getContexts()	null	org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration.LiquibaseConfiguration.liquibase()	true	1371
2700.json	org.springframework.boot.autoconfigure.amqp.RabbitProperties.DirectContainer.getConsumersPerQueue()	noCall	noCall	true	272
5647.json	org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory.setTomcatContextCustomizers(java.util.Collection<? extends org.springframework.boot.web.embedded.tomcat.TomcatContextCustomizer>)	noCall	noCall	true	1640
7687.json	org.springframework.boot.actuate.liquibase.LiquibaseEndpoint.ChangeSet.getComments()	noCall	noCall	true	177
1045.json	org.springframework.boot.autoconfigure.batch.BatchDataSourceInitializer.getSchemaLocation()	noCall	noCall	true	479
11032.json	org.springframework.boot.configurationmetadata.ValueHint.getShortDescription()	noCall	noCall	true	934
10695.json	org.springframework.boot.configurationprocessor.metadata.ItemMetadata.buildToStringProperty(java.lang.StringBuilder, java.lang.String, java.lang.Object)	10694.json	org.springframework.boot.configurationprocessor.metadata.ItemMetadata.toString()	true	1187
4822.json	org.springframework.boot.ansi.AnsiStyle.toString()	noCall	noCall	true	954
8155.json	org.springframework.boot.actuate.couchbase.CouchbaseHealthIndicator.doHealthCheck(org.springframework.boot.actuate.health.Health.Builder)	noCall	noCall	true	716
4080.json	org.springframework.boot.actuate.autoconfigure.security.servlet.EndpointRequest.EndpointRequestMatcher.streamPaths(java.util.List<java.lang.Object>, org.springframework.boot.actuate.endpoint.web.PathMappedEndpoints)	noCall	noCall	true	142
1004.json	org.springframework.boot.autoconfigure.batch.BasicBatchConfigurer.getTransactionManager()	noCall	noCall	true	1487
493.json	org.springframework.boot.autoconfigure.couchbase.CouchbaseProperties.Ssl.setKeyStore(java.lang.String)	noCall	noCall	true	685
8483.json	org.springframework.boot.actuate.influx.InfluxDbHealthIndicator.doHealthCheck(org.springframework.boot.actuate.health.Health.Builder)	noCall	noCall	true	49
5053.json	org.springframework.boot.web.servlet.ServletComponentRegisteringPostProcessor.getPackagesToScan()	noCall	noCall	true	890
3196.json	org.springframework.boot.autoconfigure.data.redis.RedisProperties.setSentinel(org.springframework.boot.autoconfigure.data.redis.RedisProperties.Sentinel)	noCall	noCall	true	1243
2860.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.Xa.getDataSourceClassName()	2804.json	org.springframework.boot.autoconfigure.jdbc.XADataSourceAutoConfiguration.createXaDataSource()	true	1255
7776.json	org.springframework.boot.actuate.endpoint.jmx.EndpointMBean.getAttributes(java.lang.String[])	noCall	noCall	true	182
3541.json	org.springframework.boot.actuate.autoconfigure.metrics.export.simple.SimplePropertiesConfigAdapter.step()	noCall	noCall	true	90
11753.json	org.springframework.boot.loader.PropertiesLauncher.capitalize(java.lang.String)	11752.json	org.springframework.boot.loader.PropertiesLauncher.toCamelCase(java.lang.CharSequence)	true	1486
5336.json	org.springframework.boot.web.client.RootUriTemplateHandler.expand(java.lang.String, java.lang.Object...)	noCall	noCall	true	611
3237.json	org.springframework.boot.autoconfigure.data.redis.RedisConnectionConfiguration.getClusterConfiguration()	null	org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration.createJedisConnectionFactory()	false	714
5962.json	org.springframework.boot.web.reactive.result.view.MustacheView.checkResourceExists(java.util.Locale)	noCall	noCall	true	282
9891.json	org.springframework.boot.gradle.tasks.bundling.BootArchiveSupport.requiresUnpack(java.lang.String...)	noCall	noCall	true	303
7738.json	org.springframework.boot.actuate.web.trace.HttpTrace.Principal.getName()	noCall	noCall	true	7
3213.json	org.springframework.boot.autoconfigure.data.redis.RedisProperties.Cluster.getMaxRedirects()	3237.json	org.springframework.boot.autoconfigure.data.redis.RedisConnectionConfiguration.getClusterConfiguration()	true	714
4743.json	org.springframework.boot.origin.OriginTrackedValue.hashCode()	noCall	noCall	true	332
10863.json	org.springframework.boot.maven.SpringApplicationAdminClient.isReady()	10962.json,10965.json	org.springframework.boot.maven.StartMojo.waitForSpringApplication(long, int),org.springframework.boot.maven.StartMojo.doWaitForSpringApplication(javax.management.MBeanServerConnection)	true	989
5067.json	org.springframework.boot.web.servlet.server.AbstractServletWebServerFactory.setRegisterDefaultServlet(boolean)	noCall	noCall	true	1744
5398.json	org.springframework.boot.web.server.ErrorPageRegistrarBeanPostProcessor.getRegistrars()	5397.json	org.springframework.boot.web.server.ErrorPageRegistrarBeanPostProcessor.postProcessBeforeInitialization(org.springframework.boot.web.server.ErrorPageRegistry)	true	644
6349.json	org.springframework.boot.jdbc.DataSourceBuilder.driverClassName(java.lang.String)	2812.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.initializeDataSourceBuilder()	false	1360
11971.json	org.springframework.boot.loader.jar.AsciiBytes.toString(byte[])	11834.json	org.springframework.boot.loader.jar.JarURLConnection.JarEntryName.decode(org.springframework.boot.loader.jar.StringSequence)	true	587
9550.json	org.springframework.boot.devtools.remote.client.ClassPathChangeUploader.performUpload(org.springframework.boot.devtools.restart.classloader.ClassLoaderFiles, byte[])	9549.json	org.springframework.boot.devtools.remote.client.ClassPathChangeUploader.onApplicationEvent(org.springframework.boot.devtools.classpath.ClassPathChangedEvent)	true	568
7777.json	org.springframework.boot.actuate.endpoint.jmx.EndpointMBean.setAttributes(javax.management.AttributeList)	noCall	noCall	true	182
1111.json	org.springframework.boot.autoconfigure.mongo.MongoProperties.getDatabase()	noCall	noCall	true	1604
1340.json	org.springframework.boot.autoconfigure.cache.JCacheCacheConfiguration.getCachingProvider(java.lang.String)	1339.json	org.springframework.boot.autoconfigure.cache.JCacheCacheConfiguration.createCacheManager()	true	1035
11700.json	org.springframework.boot.loader.archive.JarFileArchive.JarFileEntry.isDirectory()	noCall	noCall	true	1668
1256.json	org.springframework.boot.autoconfigure.template.AbstractViewResolverProperties.isCache()	1238.json,552.json	org.springframework.boot.autoconfigure.template.AbstractTemplateViewResolverProperties.applyToMvcViewResolver(java.lang.Object),org.springframework.boot.autoconfigure.groovy.template.GroovyTemplateAutoConfiguration.GroovyMarkupConfiguration.groovyMarkupConfigurer()	true	1358
3637.json	org.springframework.boot.actuate.autoconfigure.metrics.export.ganglia.GangliaProperties.getTimeToLive()	noCall	noCall	true	140
3660.json	org.springframework.boot.actuate.autoconfigure.metrics.export.StepRegistryProperties.getBatchSize()	noCall	noCall	true	140
12006.json	org.springframework.boot.loader.data.RandomAccessDataFile.getSize()	noCall	noCall	true	1668
8978.json	org.springframework.boot.cli.command.archive.WarCommand.WarOptionHandler.writeClasspathEntry(org.springframework.boot.loader.tools.JarWriter, org.springframework.boot.cli.command.archive.ResourceMatcher.MatchedResource)	noCall	noCall	true	484
11974.json	org.springframework.boot.loader.util.SystemPropertyUtils.resolvePlaceholders(java.lang.String)	noCall	noCall	true	1591
4037.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.ReactiveCloudFoundrySecurityService.mapError(java.lang.Throwable)	noCall	noCall	true	90
11051.json	org.springframework.boot.configurationmetadata.SimpleConfigurationMetadataRepository.getGroup(org.springframework.boot.configurationmetadata.ConfigurationMetadataSource)	11049.json	org.springframework.boot.configurationmetadata.SimpleConfigurationMetadataRepository.add(org.springframework.boot.configurationmetadata.ConfigurationMetadataProperty, org.springframework.boot.configurationmetadata.ConfigurationMetadataSource)	true	934
3982.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet.SkipSslVerificationHttpRequestFactory.SkipX509TrustManager.getAcceptedIssuers()	noCall	noCall	true	158
2625.json	org.springframework.boot.autoconfigure.amqp.RabbitProperties.getPassword()	2626.json	org.springframework.boot.autoconfigure.amqp.RabbitProperties.determinePassword()	true	1589
4062.json	org.springframework.boot.actuate.autoconfigure.audit.AuditAutoConfiguration.authenticationAuditListener()	noCall	noCall	true	1736
6010.json	org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebApplicationContext.createEnvironment()	noCall	noCall	true	90
3811.json	org.springframework.boot.actuate.autoconfigure.metrics.MetricsProperties.Web.getClient()	null	org.springframework.boot.actuate.autoconfigure.metrics.web.client.RestTemplateMetricsConfiguration.metricsWebClientUriTagFilter(org.springframework.boot.actuate.autoconfigure.metrics.MetricsProperties)	false	140
9955.json	org.springframework.boot.gradle.dsl.SpringBootExtension.determineArtifactBaseName()	noCall	noCall	false	303
4303.json	org.springframework.boot.jta.bitronix.PoolingConnectionFactoryBean.setBeanName(java.lang.String)	noCall	noCall	true	1255
3049.json	org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchRepositoriesRegistrar.getRepositoryConfigurationExtension()	noCall	noCall	true	1341
4043.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.ReactiveCloudFoundrySecurityService.getUaaUrl()	4040.json,4021.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.ReactiveCloudFoundrySecurityService.fetchTokenKeys(),org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.ReactiveTokenValidator.validateIssuer(org.springframework.boot.actuate.autoconfigure.cloudfoundry.Token)	true	91
3149.json	org.springframework.boot.autoconfigure.data.web.SpringDataWebProperties.Sort.setSortParameter(java.lang.String)	noCall	noCall	true	247
9220.json	org.springframework.boot.cli.util.Log.error(java.lang.String)	8913.json,8767.json,8973.json,8975.json	org.springframework.boot.cli.command.shell.CommandCompleter.printUsage(org.springframework.boot.cli.command.Command),org.springframework.boot.cli.compiler.maven.MavenSettingsReader.readSettings(),org.springframework.boot.cli.command.CommandRunner.errorMessage(java.lang.String),org.springframework.boot.cli.command.CommandRunner.printStackTrace(java.lang.Exception)	false	1669
6981.json	org.springframework.boot.context.properties.bind.JavaBeanBinder.BeanProperty.getValue(java.util.function.Supplier<?>)	6961.json	org.springframework.boot.context.properties.bind.JavaBeanBinder.bind(org.springframework.boot.context.properties.bind.JavaBeanBinder.BeanSupplier<T>, org.springframework.boot.context.properties.bind.BeanPropertyBinder, org.springframework.boot.context.properties.bind.JavaBeanBinder.BeanProperty)	true	280
4753.json	org.springframework.boot.jackson.JsonObjectSerializer.serialize(T, com.fasterxml.jackson.core.JsonGenerator, com.fasterxml.jackson.databind.SerializerProvider)	noCall	noCall	true	695
6351.json	org.springframework.boot.jdbc.DataSourceBuilder.password(java.lang.String)	2812.json,null	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.initializeDataSourceBuilder(),org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration.LiquibaseConfiguration.createNewDataSource()	false	1360
10684.json	org.springframework.boot.configurationprocessor.metadata.ItemMetadata.getSourceMethod()	10712.json	org.springframework.boot.configurationprocessor.metadata.JsonConverter.toJsonObject(org.springframework.boot.configurationprocessor.metadata.ItemMetadata)	true	1187
3179.json	org.springframework.boot.autoconfigure.data.redis.RedisProperties.getDatabase()	3235.json	org.springframework.boot.autoconfigure.data.redis.RedisConnectionConfiguration.getStandaloneConfig()	true	1253
1293.json	org.springframework.boot.autoconfigure.cache.CacheProperties.getEhcache()	1330.json	org.springframework.boot.autoconfigure.cache.EhCacheCacheConfiguration.ehCacheCacheManager()	true	980
11854.json	org.springframework.boot.loader.jar.JarFileEntries.visitEnd()	noCall	noCall	true	734
4731.json	org.springframework.boot.origin.TextResourceOrigin.Location.getColumn()	noCall	noCall	true	332
7866.json	org.springframework.boot.actuate.endpoint.invoke.ParameterMappingException.getValue()	noCall	noCall	true	182
7971.json	org.springframework.boot.actuate.endpoint.web.PathMappedEndpoints.getEndpoint(java.lang.String)	7967.json,7968.json	org.springframework.boot.actuate.endpoint.web.PathMappedEndpoints.getRootPath(java.lang.String),org.springframework.boot.actuate.endpoint.web.PathMappedEndpoints.getPath(java.lang.String)	true	13
3441.json	org.springframework.boot.actuate.autoconfigure.metrics.export.prometheus.PrometheusPropertiesConfigAdapter.step()	noCall	noCall	true	140
2073.json	org.springframework.boot.autoconfigure.web.reactive.WebFluxAutoConfiguration.EnableWebFluxConfiguration.webFluxConversionService()	noCall	noCall	true	41
5188.json	org.springframework.boot.web.servlet.ServletListenerRegistrationBean.getDescription()	noCall	noCall	true	24
5006.json	org.springframework.boot.web.servlet.support.ErrorPageFilter.destroy()	noCall	noCall	true	1431
5028.json	org.springframework.boot.web.servlet.support.SpringBootServletInitializer.configure(org.springframework.boot.builder.SpringApplicationBuilder)	noCall	noCall	false	1577
5458.json	org.springframework.boot.web.embedded.jetty.JettyServletWebServerFactory.isNegative(java.time.Duration)	noCall	noCall	false	14
2873.json	org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer.getResources(java.lang.String, java.util.List<java.lang.String>, boolean)	2872.json	org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer.getScripts(java.lang.String, java.util.List<java.lang.String>, java.lang.String)	true	1358
2521.json	org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration.jpaVendorAdapter()	noCall	noCall	true	1744
4473.json	org.springframework.boot.builder.SpringApplicationBuilder.getMapFromKeyValuePairs(java.lang.String[])	4471.json	org.springframework.boot.builder.SpringApplicationBuilder.properties(java.lang.String...)	true	1562
